frame,t_s,z_mean_m,z_min_m,z_max_m,z_std_m,n_nodes,n_all
208,2.080000e-01,1.8287101685e-02,3.8771436052e-03,3.2224039634e-02,9.5424443735e-03,356,356
209,2.090000e-01,1.8638579426e-02,4.2286213453e-03,3.2575517374e-02,9.5424443735e-03,356,356
210,2.100000e-01,1.8992319660e-02,4.5823615793e-03,3.2929257608e-02,9.5424443735e-03,356,356
211,2.110000e-01,1.9348163255e-02,4.9382051745e-03,3.3285101204e-02,9.5424443735e-03,356,356
212,2.120000e-01,1.9705950408e-02,5.2959923279e-03,3.3642888357e-02,9.5424443735e-03,356,356
213,2.130000e-01,2.0065520718e-02,5.6555626377e-03,3.4002458667e-02,9.5424443735e-03,356,356
214,2.140000e-01,2.0426713255e-02,6.0167551744e-03,3.4363651204e-02,9.5424443735e-03,356,356
215,2.150000e-01,2.0789366633e-02,6.3794085527e-03,3.4726304582e-02,9.5424443735e-03,356,356
216,2.160000e-01,2.1153319083e-02,6.7433610032e-03,3.5090257032e-02,9.5424443735e-03,356,356
217,2.170000e-01,2.1518408524e-02,7.1084504437e-03,3.5455346473e-02,9.5424443735e-03,356,356
218,2.180000e-01,2.1884472632e-02,7.4745145515e-03,3.5821410581e-02,9.5424443735e-03,356,356
219,2.190000e-01,2.2251348915e-02,7.8413908349e-03,3.6188286864e-02,9.5424443735e-03,356,356
220,2.200000e-01,2.2618874785e-02,8.2089167049e-03,3.6555812734e-02,9.5424443735e-03,356,356
221,2.210000e-01,2.2986887627e-02,8.5769295467e-03,3.6923825576e-02,9.5424443735e-03,356,356
222,2.220000e-01,2.3355224872e-02,8.9452667917e-03,3.7292162821e-02,9.5424443735e-03,356,356
223,2.230000e-01,2.3723724069e-02,9.3137659883e-03,3.7660662017e-02,9.5424443735e-03,356,356
224,2.240000e-01,2.4092222954e-02,9.6822648735e-03,3.8029160903e-02,9.5424443735e-03,356,356
225,2.250000e-01,2.4460559524e-02,1.0050601444e-02,3.8397497473e-02,9.5424443735e-03,356,356
226,2.260000e-01,2.4828572107e-02,1.0418614026e-02,3.8765510056e-02,9.5424443735e-03,356,356
227,2.270000e-01,2.5196099429e-02,1.0786141349e-02,3.9133037378e-02,9.5424443735e-03,356,356
228,2.280000e-01,2.5562980691e-02,1.1153022611e-02,3.9499918640e-02,9.5424443735e-03,356,356
229,2.290000e-01,2.5929055631e-02,1.1519097551e-02,3.9865993580e-02,9.5424443735e-03,356,356
230,2.300000e-01,2.6294164602e-02,1.1884206522e-02,4.0231102551e-02,9.5424443735e-03,356,356
231,2.310000e-01,2.6658148633e-02,1.2248190553e-02,4.0595086582e-02,9.5424443735e-03,356,356
232,2.320000e-01,2.7020849504e-02,1.2610891424e-02,4.0957787453e-02,9.5424443735e-03,356,356
233,2.330000e-01,2.7382109811e-02,1.2972151731e-02,4.1319047760e-02,9.5424443735e-03,356,356
234,2.340000e-01,2.7741773037e-02,1.3331814957e-02,4.1678710986e-02,9.5424443735e-03,356,356
235,2.350000e-01,2.8099683614e-02,1.3689725534e-02,4.2036621563e-02,9.5424443735e-03,356,356
236,2.360000e-01,2.8455686996e-02,1.4045728916e-02,4.2392624945e-02,9.5424443735e-03,356,356
237,2.370000e-01,2.8809629721e-02,1.4399671641e-02,4.2746567670e-02,9.5424443735e-03,356,356
238,2.380000e-01,2.9161359479e-02,1.4751401399e-02,4.3098297428e-02,9.5424443735e-03,356,356
239,2.390000e-01,2.9510725177e-02,1.5100767097e-02,4.3447663126e-02,9.5424443735e-03,356,356
240,2.400000e-01,2.9857577001e-02,1.5447618921e-02,4.3794514950e-02,9.5424443735e-03,356,356
241,2.410000e-01,3.0201766484e-02,1.5791808404e-02,4.4138704433e-02,9.5424443735e-03,356,356
242,2.420000e-01,3.0543146564e-02,1.6133188484e-02,4.4480084513e-02,9.5424443735e-03,356,356
243,2.430000e-01,3.0881571652e-02,1.6471613572e-02,4.4818509601e-02,9.5424443735e-03,356,356
244,2.440000e-01,3.1216897690e-02,1.6806939610e-02,4.5153835639e-02,9.5424443735e-03,356,356
245,2.450000e-01,3.1548982211e-02,1.7139024131e-02,4.5485920160e-02,9.5424443735e-03,356,356
246,2.460000e-01,3.1877684404e-02,1.7467726324e-02,4.5814622353e-02,9.5424443735e-03,356,356
247,2.470000e-01,3.2202865167e-02,1.7792907087e-02,4.6139803116e-02,9.5424443735e-03,356,356
248,2.480000e-01,3.2524387170e-02,1.8114429090e-02,4.6461325119e-02,9.5424443735e-03,356,356
249,2.490000e-01,3.2842114912e-02,1.8432156832e-02,4.6779052861e-02,9.5424443735e-03,356,356
250,2.500000e-01,3.3155914775e-02,1.8745956694e-02,4.7092852724e-02,9.5424443735e-03,356,356
251,2.510000e-01,3.3465655081e-02,1.9055697001e-02,4.7402593030e-02,9.5424443735e-03,356,356
252,2.520000e-01,3.3771206151e-02,1.9361248070e-02,4.7708144100e-02,9.5424443735e-03,356,356
